Название константы;Значение
Скорость света в вакууме;299792458
Постоянная Планка;0.0000000000000000000000000000000006626070149999999829724906675746281728527609958779240426308498208281271559371644184449731858344012636052866582758724689483642578125
Уменьшенная постоянная Планка;0.000000000000000000000000000000000105457181699999999438887916327649288136959286693691231969401143070420624414877953875863060735629250785905242082662880420684814453125
Магнитная проницаемость вакуума;0.000001256637061270000051282241283756579974806300015188753604888916015625
Характеристическое сопротивление вакуума;376.730313411999986783484928309917449951171875
Электрическая диэлектрическая проницаемость вакуума;0.0000000000088541878188000004144484891152274731729310275341049418784677982330322265625
Постоянная Больцмана;0.000000000000000000000013806490000000000921521605582037933206303448938698959216753842614566760715888449340127408504486083984375
Ньютоновская постоянная тяготения(гравитационная постоянная);0.000000000066742999999999993790012436692643364721799770222787628881633281707763671875
Кулоновская постоянная;8987551792.299999237060546875
Космологическая постоянная;0.000000000000000000000000000000000000000000000000000108899999999999993559362706212351221158363655347213097395378830554326514337340208330957574665614048512034691596435194195073837590483252502071565004371223039925098419189453125
Постоянная Стефана–Больцмана;0.000000056703744189999999086585955564154826191725078388117253780364990234375
Первая постоянная излучения;0.0000000000000003741771852000000157520399737415910636618735451118522572500069145462475717067718505859375
Первая постоянная излучения для спектрального сияния;0.00000000000000011910429720000001186001768460481107361533868022572535405601001912145875394344329833984375
Вторая постоянная излучения;0.0143877687699999999570987796460030949674546718597412109375
Постоянная закона смещения длины волны Вина;0.0028977719550000000277301115403361109201796352863311767578125
Постоянная закона частотного смещения Вина;58789257570
Постоянная закона смещения энтропии Вина;0.0030029160770000001313972948224773062975145876407623291015625
Элементарный заряд;0.0000000000000000001602176633999999893756230045220364069680379185829543673379171675463794599636457860469818115234375
Квант проводимости;0.00007748091729000000367315326155193133672582916915416717529296875
Квант обратной проводимости;12906.403720000000248546712100505828857421875
Постоянная вон Клицинга;25812.8074500000002444721758365631103515625
Константа Джозефсона;483597848400000
Квант магнитного потока;0.00000000000000206783384800000017234743959587812181424087087065755152792689841589890420436859130859375
Константа тонкой структуры;0.007297352564299999962138532083599784527905285358428955078125
Обратная константа тонкой структуры;137.0359991770000078759039752185344696044921875
Масса электрона;0.00000000000000000000000000000091093837138999998164445228073493349201915087606496469652045975106055422874161788850122523086838555173017084598541259765625
Масса мюона;0.0000000000000000000000000001883531627000000106942586718601850316749941732079893114276320738064083630211066611170878104530856944620609283447265625
Масса тау;0.000000000000000000000000003167539999999999909162674564309229680600713629540773442257355636648570563172755409908631918369792401790618896484375
Масса протона;0.000000000000000000000000001672621925949999910807953060287400648767626916349546670557363064574287457066115170079001472913660109043121337890625
Масса нейтрона;0.000000000000000000000000001674927500560000107481981563179345937813289764897183373910018440057089102179777029277829569764435291290283203125
Масса верхнего кварка;0.00000000000000000000000030784000000000001919710039623051266761415656271131306906844366360069716048730725788118434138596057891845703125
Отношение массы протона к массе электрона;1836.15267342600009214947931468486785888671875
Отношение массы W к Z;0.88144999999999995576871469893376342952251434326171875
Слабый угол смешивания;0.22289999999999998703259507237817160785198211669921875
g-фактор электрона;-2.002319304360919982599398281308822333812713623046875
g мюонный фактор;-2.00233184123000018672655642149038612842559814453125
Протонный g-фактор;5.5856946893000003484530679997988045215606689453125
Квант циркуляции;0.0003636947546700000123698348630796317593194544315338134765625
Магнетон Бора;0.000000000000000000000009274010065699999922859277046492190101514473040112574888421052669851274430357079836539924144744873046875
Ядерный магнетон;0.00000000000000000000000000505078373930000010688589508997293204803995865405634781932929281565955209783169710391348417033441364765167236328125
Классический радиус электрона;0.000000000000002817940320499999895238370110548649072923260879008910961829315056093037128448486328125
Томсон сечение;0.00000000000000000000000000006652458705100000150361038240797276239628946014209778267672293497510969254092431934832774231836083345115184783935546875
Радиус Бора;0.000000000052917721054399997654862308629772154298931408078487947932444512844085693359375
Энергия Хартри;0.0000000000000000043597447222059998922396392727201515528620147824447918216694830562119022943079471588134765625
Ридберговская единица энергии;0.00000000000000000217987236110299994611981963636007577643100739122239591083474152810595114715397357940673828125
Постоянная Ридберга;10973731.56815700046718120574951171875
Константа связи Ферми;0.00001166378699999999946253226301706718004425056278705596923828125
Константа Авогадро;602214075999999987023872
Молярная газовая постоянная;8.314462618153239503726581460796296596527099609375
Постоянная Фарадея;96485.3321233100141398608684539794921875
Молярная постоянная Планка;0.00000000039903127128934315865204860213273120594923426551758893765509128570556640625
Атомная масса из углерод-12;0.000000000000000000000000019926468799200001088952625039085819109508671046674153718912801354885637981906310045587815693579614162445068359375
Молярная масса из углерод-12;0.0120000000000000002498001805406602215953171253204345703125
Постоянная атомной массы;0.000000000000000000000000001660539068919999932578345987359437697926622976659031765755601848891196965600502988280595673131756484508514404296875
Постоянная молярной массы;0.001000000000000000020816681711721685132943093776702880859375
Молярный объем кремния;0.000012058831989999999851161972819202361506540910340845584869384765625
Частота сверхтонких переходов 133Cs;9192631770
Постоянная тонкой структуры;0.007297352564299999962138532083599784527905285358428955078125
Планковская масса;0.000000021764340000000001379551464925944659345447007581242360174655914306640625
Планковская длина;0.00000000000000000000000000000000001616255000000000066841323249629829233073711630779843695593451776531513948201731305155765482627072682220159549615345895290374755859375
Планковское время;0.000000000000000000000000000000000000000000053912470000000001580367235705460773566422308367318568879636064049669018628454067102063491221199953051288776876247277325404638759209774434566497802734375
Планковская температура;1.4167840000000000433288960266509093344211578369140625
Температура тройной точки воды;273.16000000000002501110429875552654266357421875
